Timestamp,Glyph Code,Chalice Type,F,R,C,Status,Layer 1 Loot,Layer 2 Loot,Layer 3 Loot,Layer 4 Loot,Layer 5 Loot,Unspecified Loot,Dungeon Notes / Comments
3/31/2015 14:42:38,462yygcg,Pthumeru,,,,Active,Uncanny Saw Cleaver,,,,,,
3/31/2015 14:52:43,3zuzathw,Lower Pthumeru,,,,Active,,,,,,"Uncanny Kirkhammer, Lost Saw Cleaver",
3/31/2015 14:53:29,wg6c9sib,Central Pthumeru,,,,Active,,Uncanny Threaded Cane,,,,,
3/31/2015 14:55:32,h6nav3wb,Ailing Loran,,,,Active,,,,,,Lost Rifle Spear,
3/31/2015 14:56:22,5543imxn,Pthumeru Ihyll,,,,Active,,,,,,"Lost Burial Blade, Lost Reiterpallasch",
3/31/2015 14:57:14,aecve32n,Isz,,,,Active,Lost Kirkhammer,Lost Ludwig's Blade,Blood Rock,,,,
3/31/2015 14:58:10,evuke3qg,Ailing Loran,,,,Active,,,,,,"Lost Hunter Axe, Uncanny Tonitrus, Uncanny Beast Claw",
3/31/2015 14:59:18,qt4skm7y,Lower Hintertomb,,,,Active,,,,,,Uncanny Stakedriver,
3/31/2015 15:00:11,x8kkkxzy,Central Pthumeru,,,,Active,,Uncanny Saw Spear,,,,,
3/31/2015 15:04:30,5n6277wn,Ailing Loran,,,,Active,,,,,,Uncanny Tonitrus,
3/31/2015 15:05:18,8jvepg2q,Sinister Hintertomb,,,,Active,Uncanny Stake Driver,,,,,,
3/31/2015 15:12:10,8dc7g5bt,Lower Pthumeru,,,,Active,Lost Saw Spear,,Lost Saw Cleaver,,,,
3/31/2015 15:16:00,ars6u9q7,Pthumeru Ihyll,F,R,,Active,Heir Rune,,Lost Logarius Wheel,Clockwise Metamorphosis Rune ,,,
3/31/2015 15:18:09,yuif5njk,Sinister Isz,,,,Active,,,Lost Ludwig's Holy Blade,,,,
3/31/2015 15:19:41,d4x2d43d,Pthumeru Ihyll,,,,Active,Lost Burial Blade,,Lost Blade of Mercy,,,,
3/31/2015 15:27:24,68nqfbsq,Central Pthumeru,,,,Active,"Uncanny Threaded Cane, Uncanny Saw Spear",,,,,,
3/31/2015 15:28:37,p6fndphh ,Lower Pthumeru,,,,Active,Uncanny Riflespear,,,,,,
3/31/2015 15:30:43,xqbaasat,Hintertomb,,,,Active,,,Uncanny Hunter Axe,,,,
3/31/2015 15:31:22,fmu9qx9g,Isz,,,,Active,,Blood Rock,,,,,
3/31/2015 15:32:47,6ig4ifre,Sinister Isz,,,,Active,,,,,,"Lost Kirkhammer, Ludwig's Lost Holy Blade, Lost Treaded Cane",
3/31/2015 17:41:15,f4hs84iq,Pthumeru,,,,Active,Uncanny Saw Blade,,,,,,
3/31/2015 17:52:05,5f7nv9uy,Lower Ailing Loran,F,R,,Active,Uncanny Blade of Mercy,"Anti-Clockwork Metamorphosis Rune, Fading Lake Rune",,,,,"First Boss is a Watchdog, Second is a Bloodletting Beast"
3/31/2015 21:44:56,v9p66fkd,Sinister Hintertomb,,,,Active,,Uncanny Stake Driver,,,,,
3/31/2015 22:17:15,7h87j4h7,Cursed and Defiled,F,R,C,Active,Uncanny Chikage,Uncanny Logarius Wheel,Uncanny Reiterpallasch,,,,
4/1/2015 15:04:17,7m33u748,Isz,F,R,C,Active,Lost Kirkhammer,,,,,,
4/2/2015 2:47:57,y8tiiwfb,Central Pthumeru,,,,Active,,Uncanny Saw Spear,,,,,
4/2/2015 13:16:38,cebq9a24,Hintertomb,F,,,Active,,,,,,"Uncanny Hunter Axe, Deep Sea Rune",Very easy bosses.
4/2/2015 14:40:31,Habsksbd,,,,,,,,,,,,
4/2/2015 14:57:26,2yrgyfp4,Lower Pthumeru,F,R,,Active,Uncanny Kirkhammer,,,,,,
4/2/2015 17:12:03,5vniqpwl,Lower Ailing Loran,F,R,C,Active,Uncanny Burial Blade,Clawmark Rune (+30% V. Atk),,,,,
4/2/2015 19:14:17,nvnmvg4g,Central Pthumeru,,,,Active,,Uncanny Saw Spear (Side Area),,,,,"L1:Undead Giant, L2: Beast-Possesed Soul, L3: Pthumerian Descendant"
4/2/2015 22:57:02,e7dbyy35,,,,,,,,,,,,
4/3/2015 1:20:29,5bnqxgam,Pthumeru,,,,Active,uncanny saw cleaver,,,,,,
4/3/2015 3:27:38,8bk4dtfk,Isz,F,R,,Active,Deep sea rune(300 frenzy res),,Great lake(+5% dam reduction),,,,
4/3/2015 3:46:24,54d7ssy2,Central Pthumeru,F,,,Active,Uncanny Threaded Cane,,,,,,Cane in bonus room before first boss.
4/3/2015 6:32:45,68nqfbsq,,,,,,,,,,,,
4/3/2015 7:42:39,7m6w67ej,Lower Pthumeru,F,R,,Active,,,,,,"Lost Saw Cleaver, Lost Saw Spear",It's a two-for-one Lost Weapon deal! GET EM WHILE THEY'RE HOT!
4/3/2015 7:43:59,2yrgyfp4,,,,,,,,,,,,
4/3/2015 9:12:36,nynpssra,Lower Hintertomb,,,,Active,"Great Deep Sea rune, Beasthunter's Blood Gemstone","Stunning Deep Sea, Great One Cold Blood",Uncanny Stake Driver,,,,"Great One Cold Blood gives 40,000 blood echoes"
4/3/2015 9:28:21,3nawt3ys,Isz,,,,Active,Blood Rock,,,,,,
4/3/2015 12:54:00,7yc94b3m,Pthumeru Ihyll,F,R,C,Active,,"Lost Reiterpallash , Lake Rune (+7% phys dmg reduction)",,,,,"Beastpossesed Soul, Undead Giant (cannon), Bloodletting Beast"
4/3/2015 14:17:11,626wxvz4,Isz,F,R,,Active,Great Lake Rune (5% dmg resist),Lost Kirkhammer,Lost Ludwig's Holy Blade,,,,pretty easy bosses (3 watchers and brainsucker)
4/3/2015 14:19:09,r8sejn43,Sinister Pthumeru Ihyll,,,,Active,,Lost Burial Blade,Lost Logarius wheel,,,,"I can't remember the exact location of the items, but i got both in this dungeon"
4/3/2015 15:10:02,dvtpcwg4,Central Pthumeru,,,,Active,Uncanny saw spear,,,,,,
4/3/2015 15:42:50,c7ext6i7,Lower Ailing Loran,,,,Active,,Anti-Clockwise Metamorphasis Rune (+20% Stamina),,,,,
4/3/2015 20:44:42,uae9r5av,,,,,,,,,,,,
4/3/2015 21:23:09,n7ibkgj5,Central Pthumeru,F,,,Active,Uncanny Saw Spear,Uncanny Threaded Cane,,,,Lots of ritual blood and tomb molds.,"Lots of mats! Be sure to check out Layer 3 and the ones in between. 3 Watchers, Beast, Old Keeper. Easy bosses!"
4/4/2015 1:13:46,rg56w9w8,Pthumeru Ihyll,F,R,,Active,"Communion Rune (+5 vial), Lost Reiterpallasch",Lake Caryll Rune (Damage Reduction +7%),Lost Blade of Mercy,,,,
4/4/2015 8:56:09,88czkf8u,Central Pthumeru,,,,Active,Uncanny Threaded Cane,,,,,,
4/4/2015 11:07:56,h3jviter,Pthumeru Ihyll,,,,Active,,Lake (+7% DMG reduction),Lost Burial Blade,,,,There's a ton of Tomb Mold (5) ( Around 27 ) and Ritual blood (5) ( Around 13 ) to loot on the dungeon
4/4/2015 12:28:17,svzm43sv,Central Pthumeru,F,,,Active,Tempering Blood Gemstone (2) +10.5% phys -Droplet,,"Shaman Bone blade, Uncanny Saw Spear",,,,"Good for Ritual Blood (3), easy bosses"
4/4/2015 16:15:27,nmjapuuu,,,,,,,,,,,,
4/4/2015 16:16:28,nmjapuuu,Pthumeru Ihyll,,,,,,,,,,,
4/4/2015 17:54:55,z6pcddik,Ailing Loran,,,,Active,"Uncanny Beast Claw, Uncanny Tonitrus",,,,,,
4/5/2015 1:28:58,v48yddc6,Isz,F,R,C,Active,,,"Blood Rock, Lost Threaded Cane",,,,
4/5/2015 16:22:01,9q9dz93u,Ailing Loran,,,,Active,Uncanny Beast Claws,Uncanny Tonitrus,,,,,"Blooming Coldblood Flower, Coldblood Flower Bulbs, Tomb Molds (4), Ritual Blood (4)"
4/5/2015 16:56:16,at4dq8xi,Central Pthumeru,F,,,Active,Tempering Blood Gemstone (3) +13.5% Atk,Uncanny Threaded Cane,,,,,"Undead Giant (Cannon), Beast-Possessed Soul, Kepper of the Old Lords and Pthumerian Descendant"
4/5/2015 20:01:28,r6xte9yw,Isz,F,R,C,Active,Lost Threaded Cane,Great Deep Sea,,,,,"Brainsucker for first boss, Undead Giant for second, and Amygdala for third. Amygdala is a pain but otherwise very easy."
4/5/2015 20:08:58,7hqg2h9a,Central Pthumeru,,,,Active,Uncanny Saw Spear,Tempering Blood Gemstone (+13.5%phy),Ritual blood(3),,,,There is another Blood Ritual (3) in another coffin chest in the third layer.
4/5/2015 20:12:23,nkuwf5gh,Lower Pthumeru,,,,Active,Lost Saw Cleaver,Lost Saw Spear,Great One Coldblood,,,,
4/6/2015 13:54:45,dz53z5fa,Lower Ailing Loran,F,R,,Active,,Lost Tonitrus,"Dissipating Lake +10%, Clawmark +30%",,,,"Beast-Possessed Soul, Loran Silver Beast, Pthumerian Elder"
4/6/2015 16:55:02,7pfc9bh8,Pthumeru,,,,Active,Uncanny Saw Cleaver,,,,,,Cleaver is before first boss.
4/6/2015 20:33:36,2w44ud7s,Lower Ailing Loran,,R,C,Active,fading lake rune,uncanny burial blade,,,,,
4/6/2015 23:18:32,aecve32n,,,,,,,,,,,,
4/7/2015 8:28:14,ydknsnh4,Isz,,,,Active,"Deep Sea, Arcane Lake",,Great Lake,Ludwig's Lost Holy Blade,,,"Keeper of the Old Lords, Brainsucker, Celestial Emissary, Ebrietas"
4/7/2015 21:09:48,kg2gu4ht,,,,,,,,,,,,
4/7/2015 23:21:05,,,,,,,,,,,,,
4/8/2015 0:50:55,37yekqku,Hintertomb,F,,,Active,Ritual Blood (2),Blood Stone Chunk,Blood Gemstone,,,,Great low level dungeon for Blood Stone Chunk. It in the chest on the level 2 bonus area. 
4/8/2015 10:48:24,9vb3tzza,,,,,,,,,,,,
4/8/2015 11:08:13,gcx94fke,Hintertomb,,,,,Uncanny Hunter Axe,Blood Stone Chunk,,,,,Fun traps
4/8/2015 12:33:37,4292egu2,Lower Ailing Loran,F,R,,Active,Blood Rock,,,,,,Blood Rock is in the first side area
4/9/2015 22:43:53,u42p96tx,Hintertomb,F,,,Active,Blood Stone Chunk,"Uncanny Hunter Axe, Heavy Blood Gemstone (3) (STR scaling +13.5%, rating 9 shape Droplet)",,,,,"order of loot: 1st, 2nd, and 3rd bonus areas."
4/10/2015 2:14:36,ahb47s7w,Lower Pthumeru,,,,Active,,Uncanny Kirkhammer,"Lost Saw Cleaver, Uncanny Rifle Spear",,,,
4/10/2015 8:27:02,n5tq8vb8,Cursed and Defiled,F,R,C,Active,,Uncanny Ludwig's Blade,,,,,Uncanny Ludwi's blade is in the first treasure room. Don't open the door towards next boss
4/10/2015 17:36:49,df235ysm,Pthumeru Ihyll,F,R,,Active,Heir tier 3,Lake tier 3,Great One Coldblood x2,,,,"A lot of Ritual Blood (5),and a lot of NPCs so be carefull. Layer 1 boss Keeper of the Old Lords Layer 2 Maneater Boar Layer 3 Pthumerian Elder. Also in post are 3 is a hidden wall upstairs in the balcony with x3 yellow backbone. Good Luck!"
4/10/2015 17:38:49,df235ysm,Pthumeru Ihyll,F,R,,Active,Heir tier 3,Lake tier 3,Great One Coldblood x2,,,,"A lot of Ritual Blood (5),and a lot of NPCs so be carefull."
4/10/2015 22:29:48,jmph3q6e,Sinister Isz,,,,Active,Eye Rune (disc. +100),Blood Rock,,,,,last boss is ebrietas :)
4/11/2015 3:29:42,5xe4d3ny,Isz,F,R,,Active,Great Deep Sea Rune +150% all RES,,blood rock,,,Ridiculous amounts of materials,Layer 1 Boss - Pthumerian Elder; Layer 2 Boss - Brainsucker; Layer 3 Boss - Celestial Emissary
4/11/2015 4:11:47,rpzkeauc,Isz,,,,Active,"Blood Rock, Lost Threaded Cane",Great Deep Sea Rune,,,,,Blood Rock found in the bonus room pre-lamp with Lost Threaded Cane being in bonus room pre boss door
4/11/2015 19:28:32,cwftarpn,Pthumeru Ihyll,F,R,C,Active,Ring of Betrothal,,,,,,youtube.com/watch?v=NloCakY_IJI
4/12/2015 4:18:30,xcmtw4h8,Pthumeru Ihyll,,,,Active,,"Red Jelly x2, Lost Chikage (guarded by morning star enemy)","Formless Oedon Rune (+5 QS Bullets), Red Jelly x3",,,,Lots of witches
4/12/2015 13:32:36,vsaw9t7x,Central Pthumeru,F,,,,,,Uncanny Saw Spear,,,,Easy bosses
4/12/2015 23:14:17,4jgecv28,Lower Ailing Loran,F,R,,Active,Fading Lake (+10% fire resist),Uncanny Burial Blade,,"Clear Deep Sea (+300 slow poison resist), Great One Coldblood ",,,"Lots of ritual materials. Bosses: Keeper of the Old Lords, Maneater Boar, Amygdala, Loran Darkbeast"
4/12/2015 23:25:23,5xe4d3ny,,,,,,,,,,,,
4/13/2015 11:51:57,9cdr2yh6,Pthumeru,,,,Active,Uncanny Saw Cleaver,,,,,Blood Gemstones,
4/13/2015 14:24:35,ef7btkcc,Cursed and Defiled,F,R,C,,"Ludwig's Uncanny Holy Blade, Uncanny Reiterpallasch",,,,,,"L1 Undead Giant, L2 Merciless Watcher, L3 Bloodletting Beast"
4/14/2015 8:11:35,d4x2d43d,,,,,,burial,,,,,,
4/15/2015 8:23:08,qtpuhk46,Pthumeru Ihyll,F,R,,Active,Lake rune 7%dmg reduc,"Communion rune, 5+ vials",,,,,decent amount of ritual materials
4/15/2015 14:38:19,abbbxezk,Pthumeru Ihyll,F,R,,Active,clockwise metamorphosis rune 15% hp max,Logarius' lost wheel,"Lost Burial Blade, formless oedon, max qs +5",,,,
4/16/2015 14:28:17,aecve32n,,,,,,,,,,,,
4/16/2015 15:57:05,jxkej5ph,Pthumeru,,,,Inactive,,,,,,Uncanny Saw Cleaver,
4/16/2015 16:19:36,ngtwe44v,Pthumeru Ihyll,F,R,C,Active,lost chikage - first boss can drop insane gems,alot of gems and ritual materials,"oedon writhe, 3+ bullets on v.attack",,,,"High amount of materials, LOADS of good gems, got 2x 27.5% physical gems. Farming 1st boss is very easy and they drop great gems. Be ye warned; This one is hard"
4/17/2015 6:35:34,gfh57567,,,,,,,,,,,,
4/17/2015 13:06:21,kfrk4ycc,Isz,F,R,C,Active,Eye Rune +100,Ludwig's Lost Holy Blade,Deep See Rune Frenzy Res+300,,,Great Arcane Triangle Gem in Layer 2 Guarded by a samurai NPC,Very easy Layout and Bosses: 1) Man-eater Boar 2) Sucker Enemy (Don't remember his name) 3) Pthumeru Elder 
4/18/2015 2:15:51,ueh7uh88,Lower Ailing Loran,F,,,Active,"Clear Deep Sea Rune, Lost Stake Driver",,Beast Rune,,,,Clear Deep Sea in the first section of the first layer and Lost Stake Driver in the third section of the first layer.
4/18/2015 6:28:22,4vi4kmkd,Central Pthumeru,F,,,Active,,,,,,,
4/20/2015 12:49:20,axtnxr6v,Lower Ailing Loran,,,,Active,,,Blood Rock; Dissipating Lake10%,,,,
4/21/2015 18:09:48,nynpssra,,,,,,,,,,,,
4/22/2015 1:53:03,hfwyuunn,Lower Ailing Loran,,R,,Active,Lost Beast Claw,Lost Tonitrus,"Lost Stake Driver, Red Jelly",,,Ritual Blood (5),"Bosses are Abhorrent Beast, Beast Possessed Soul and Amygdala The Lost Beast Claw is in the bonus room before layer one"
4/23/2015 18:51:34,kjbcxzma,Sinister Isz,,,,Active,Great Lake 5%,,,,,,"In layer 2 and 3, I found chest that contain great one's wisdom which either I already have the items and it was replace with the it or that was the chest real treasure"
4/24/2015 11:56:45,7u8hdvjg,Isz,,,,Active,Tempering Damp Blood Gem,Ludwig's Lost Holy Blade,Blood Rock,,,,
4/25/2015 3:32:59,xdfec73e,Lower Pthumeru,,,,Active,,,,,,,
4/25/2015 16:48:06,evuke3qg,Pthumeru,,,,,,,,,,,
